Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 10/01  20:00:00,903.682705576,96.2167197752,489.325132592,0.0,44.4937663224,124.558693486,210.590095618,136.577717715,56.6466996096,17.3656782935
 10/01  21:00:00,903.22572354,96.2167197752,489.346023433,0.0,44.4937663224,124.558693486,197.093596228,145.915850353,42.4850247072,8.69272116789
 10/01  22:00:00,893.535038672,96.2167197752,489.931705575,0.0,34.9616554283,124.558693486,223.164958258,186.148964202,28.3233498048,8.6926442516
 10/01  23:00:00,890.289398706,96.2167197752,487.014902844,0.0,34.9616554283,124.558693486,298.032812522,266.506078446,14.1616749024,17.3650591732
 10/01  24:00:00,857.557657712,96.2167197752,474.671403261,0.0,34.9616554283,113.312780494,372.676130442,358.319040118,5.66466996096,8.69242036254
 10/02  01:00:00,917.550361902,96.2167197752,522.246446912,0.0,46.0930336215,113.312780494,433.612543884,419.25536987,5.66466996096,8.69250405214
 10/02  02:00:00,941.675406624,96.2167197752,547.100441943,0.0,46.0930336215,113.312780494,448.221174303,425.191487368,5.66466996096,17.3650169739
 10/02  03:00:00,953.846226902,96.2167197752,560.249394659,0.0,46.0930336215,113.312780494,446.124149842,431.767029894,5.66466996096,8.69244998672
 10/02  04:00:00,1050.17523481,96.2167197752,566.662088957,0.0,100.150657288,148.969399434,428.914555414,414.557486747,5.66466996096,8.69239870608
 10/02  05:00:00,1047.9157688,96.2193112375,562.996096792,0.0,100.150657288,149.894399434,668.973677918,637.447580932,14.1616749024,17.3644220838
 10/02  06:00:00,1279.12451586,96.817804384,568.968277943,0.0,176.471037341,302.612436532,483.446517115,446.430933031,28.3233498048,8.69223427981
 10/02  07:00:00,1390.77203783,98.2314454589,567.497497111,0.0,243.2593065,310.10971186,467.820940461,407.840420193,42.4850247072,17.4954955612
 10/02  08:00:00,1426.88468012,98.9651183194,561.498719292,0.0,243.2593065,310.10971186,473.786893074,390.801254441,56.6466996096,26.3389390229
 10/02  09:00:00,1460.4795178,99.5179012681,561.293471709,0.0,243.2593065,302.612436532,447.913843734,379.005884597,42.4850247072,26.4229344295
 10/02  10:00:00,1471.28925345,100.045927296,564.39613536,0.0,243.2593065,310.10971186,477.189249207,371.00020942,70.808374512,35.3806652746
 10/02  11:00:00,1466.71105434,100.709104422,557.792756797,0.0,243.2593065,310.10971186,459.006806502,361.603078953,70.808374512,26.5953530369
 10/02  12:00:00,1423.53684167,101.500580998,555.647772725,0.0,243.2593065,310.10971186,459.684593601,353.586688033,70.808374512,35.2895310558
 10/02  13:00:00,1462.3652881,102.253357494,560.877200433,0.0,243.2593065,302.612436532,432.704549352,349.467634273,56.6466996096,26.5902154693
 10/02  14:00:00,1465.56601997,103.074685584,563.676943561,0.0,243.2593065,302.612436532,422.095670138,344.219790542,42.4850247072,35.3908548882
 10/02  15:00:00,1464.65270765,103.801294872,562.209152689,0.0,243.2593065,302.612436532,424.982582606,341.83366979,56.6466996096,26.5022132063
 10/02  16:00:00,1473.59813518,104.448054227,564.117843949,0.0,243.2593065,310.10971186,452.999086961,341.638859126,84.9700494144,26.3901784209
 10/02  17:00:00,1476.15088928,105.246515603,566.212755649,0.0,243.2593065,310.10971186,442.713528732,340.290914268,84.9700494144,17.4525650496
